epoch,box,cls,dfl,Recall,Precision,mAP@50,mAP
001,0.579,0.369,0.815,0.804,0.847,0.849,0.618
002,0.772,0.451,0.846,0.794,0.800,0.822,0.583
003,0.895,0.517,0.871,0.734,0.753,0.769,0.509
004,0.924,0.534,0.880,0.800,0.828,0.839,0.583
005,0.882,0.507,0.870,0.607,0.725,0.673,0.430
006,0.860,0.495,0.864,0.818,0.817,0.850,0.613
007,0.824,0.473,0.857,0.706,0.769,0.757,0.497
008,0.811,0.467,0.854,0.810,0.839,0.857,0.621
009,0.783,0.452,0.849,0.797,0.837,0.853,0.609
010,0.765,0.444,0.845,0.799,0.848,0.856,0.598
011,0.748,0.435,0.841,0.790,0.841,0.843,0.599
012,0.726,0.425,0.837,0.805,0.854,0.866,0.631
013,0.704,0.415,0.833,0.810,0.856,0.864,0.633
014,0.686,0.406,0.830,0.812,0.860,0.863,0.625
015,0.668,0.398,0.827,0.820,0.848,0.868,0.628
016,0.647,0.389,0.823,0.814,0.856,0.866,0.639
017,0.628,0.381,0.820,0.817,0.848,0.863,0.634
018,0.608,0.372,0.817,0.817,0.848,0.865,0.636
019,0.589,0.365,0.814,0.822,0.855,0.872,0.638
020,0.570,0.357,0.811,0.826,0.841,0.868,0.642
021,0.546,0.348,0.808,0.810,0.860,0.864,0.634
022,0.529,0.342,0.806,0.810,0.861,0.867,0.641
023,0.506,0.333,0.803,0.825,0.853,0.867,0.643
024,0.485,0.326,0.801,0.827,0.846,0.867,0.643
025,0.466,0.319,0.799,0.814,0.859,0.868,0.644
