epoch,box,cls,dfl,Recall,Precision,mAP@50,mAP
001,2.835,3.341,2.002,0.111,0.174,0.024,0.008
002,1.911,1.574,1.227,0.327,0.355,0.268,0.108
003,1.606,1.146,1.101,0.284,0.360,0.257,0.130
004,1.416,0.943,1.034,0.451,0.452,0.393,0.225
005,1.295,0.827,0.991,0.456,0.456,0.418,0.222
006,1.231,0.772,0.971,0.291,0.410,0.279,0.144
007,1.204,0.748,0.961,0.698,0.733,0.753,0.485
008,1.146,0.691,0.944,0.709,0.776,0.786,0.510
009,1.115,0.663,0.935,0.754,0.792,0.814,0.553
010,1.090,0.643,0.927,0.751,0.811,0.817,0.552
011,1.069,0.624,0.921,0.750,0.757,0.764,0.522
012,1.052,0.613,0.917,0.747,0.809,0.816,0.557
013,1.034,0.597,0.911,0.680,0.739,0.737,0.493
014,1.014,0.584,0.906,0.766,0.815,0.828,0.566
015,1.003,0.577,0.904,0.758,0.829,0.837,0.565
016,0.984,0.563,0.898,0.799,0.825,0.856,0.596
017,0.971,0.553,0.895,0.775,0.822,0.834,0.576
018,0.957,0.545,0.891,0.794,0.832,0.850,0.600
019,0.945,0.538,0.888,0.819,0.833,0.866,0.615
020,0.929,0.528,0.885,0.802,0.816,0.848,0.591
021,0.920,0.523,0.882,0.820,0.831,0.857,0.611
022,0.905,0.514,0.879,0.766,0.822,0.820,0.572
023,0.894,0.509,0.876,0.792,0.815,0.844,0.590
024,0.882,0.501,0.873,0.808,0.842,0.858,0.619
025,0.866,0.493,0.870,0.791,0.843,0.857,0.608
026,0.855,0.487,0.867,0.810,0.834,0.857,0.614
027,0.841,0.481,0.864,0.810,0.838,0.857,0.618
028,0.829,0.474,0.861,0.792,0.846,0.853,0.618
029,0.816,0.468,0.858,0.816,0.844,0.864,0.624
030,0.805,0.464,0.856,0.808,0.852,0.861,0.626
031,0.793,0.457,0.853,0.809,0.846,0.856,0.626
032,0.779,0.451,0.851,0.806,0.860,0.861,0.624
033,0.764,0.444,0.848,0.809,0.852,0.862,0.631
034,0.749,0.438,0.845,0.795,0.845,0.853,0.617
035,0.744,0.436,0.844,0.820,0.841,0.865,0.631
036,0.726,0.427,0.840,0.810,0.848,0.863,0.629
037,0.716,0.423,0.838,0.799,0.850,0.854,0.623
038,0.703,0.419,0.836,0.808,0.856,0.862,0.631
039,0.686,0.410,0.833,0.802,0.861,0.860,0.630
040,0.672,0.404,0.830,0.811,0.843,0.859,0.629
041,0.658,0.398,0.828,0.814,0.845,0.859,0.629
042,0.642,0.392,0.826,0.811,0.856,0.861,0.632
043,0.627,0.386,0.823,0.811,0.843,0.857,0.632
044,0.615,0.382,0.821,0.825,0.844,0.863,0.634
045,0.597,0.375,0.819,0.818,0.844,0.859,0.632
046,0.583,0.369,0.817,0.810,0.857,0.859,0.631
047,0.567,0.364,0.814,0.812,0.841,0.856,0.629
048,0.552,0.359,0.812,0.820,0.846,0.859,0.633
049,0.536,0.353,0.810,0.819,0.848,0.861,0.635
050,0.523,0.348,0.809,0.814,0.851,0.860,0.635
